Date,Price,Return
06/06/2025,"14.172,00","0,25"
08/06/2025,"17.942,00","0,27"
10/06/2025,"18.554,00","0,03"
11/06/2025,"18.808,00","0,01"
01/07/2025,"14.014,00","-0,25"
02/07/2025,"12.984,00","-0,07"
03/07/2025,"11.269,00","-0,13"
04/07/2025,"9.764,00","-0,13"
05/07/2025,"11.706,00","0,20"
07/07/2025,"15.824,00","0,35"
08/07/2025,"18.077,00","0,14"
10/07/2025,"18.504,00","0,02"
11/07/2025,"18.815,00","0,02"
01/08/2025,"14.011,00","-0,26"
04/08/2025,"9.630,00","-0,31"
05/08/2025,"11.737,00","0,22"
07/08/2025,"16.000,00","0,36"
08/08/2025,"18.270,00","0,14"
09/08/2025,"16.831,00","-0,08"
10/08/2025,"18.911,00","0,12"
12/08/2025,"18.555,00","-0,02"
04/09/2025,"11.433,00","-0,38"
05/09/2025,"11.665,00","0,02"
06/09/2025,"14.263,00","0,22"
07/09/2025,"16.288,00","0,14"
09/09/2025,"17.076,00","0,05"
10/09/2025,"19.257,00","0,13"
12/09/2025,"18.497,00","-0,04"
01/10/2025,"13.591,00","-0,27"
02/10/2025,"13.357,00","-0,02"
03/10/2025,"10.698,00","-0,20"
04/10/2025,"10.757,00","0,01"
06/10/2025,"14.396,00","0,34"
07/10/2025,"16.410,00","0,14"
09/10/2025,"17.733,00","0,08"
10/10/2025,"18.316,00","0,03"
11/10/2025,"19.905,00","0,09"
12/10/2025,"18.378,00","-0,08"
02/11/2025,"13.280,00","-0,28"
03/11/2025,"10.876,00","-0,18"
04/11/2025,"11.093,00","0,02"
06/11/2025,"14.283,00","0,29"
07/11/2025,"16.492,00","0,15"
08/11/2025,"18.206,00","0,10"
09/11/2025,"17.717,00","-0,03"
11/11/2025,"19.316,00","0,09"
12/11/2025,"18.093,00","-0,06"
02/12/2025,"13.114,00","-0,28"
03/12/2025,"11.574,00","-0,12"
05/12/2025,"12.300,00","0,06"
06/12/2025,"14.500,00","0,18"
08/12/2025,"18.316,00","0,26"
09/12/2025,"17.782,00","-0,03"
11/12/2025,"19.380,00","0,09"
12/12/2025,"17.502,00","-0,10"
01/13/2020,"630,00","-0,96"
01/13/2021,"1.353,00","1,15"
01/13/2022,"2.657,00","0,96"
01/13/2023,"1.690,00","-0,36"
01/13/2025,"13.323,00","6,88"
01/14/2020,"618,00","-0,95"
01/14/2021,"1.320,00","1,14"
01/14/2022,"2.694,00","1,04"
01/14/2025,"13.176,00","3,89"
01/15/2020,"614,00","-0,95"
01/15/2021,"1.286,00","1,09"
01/15/2025,"13.624,00","9,59"
01/16/2020,"622,00","-0,95"
01/16/2024,"5.638,00","8,06"
01/16/2025,"13.357,00","1,37"
01/17/2020,"623,00","-0,95"
01/17/2023,"1.770,00","1,84"
01/17/2024,"5.605,00","2,17"
01/17/2025,"13.771,00","1,46"
01/18/2022,"2.590,00","-0,81"
01/18/2023,"1.738,00","-0,33"
01/18/2024,"5.711,00","2,29"
01/19/2021,"4.609.400,00","806,11"
01/19/2022,"4.622.800,00","0,00"
01/19/2023,"1.676,00","-1,00"
01/19/2024,"5.949,00","2,55"
01/20/2021,"1.337,00","-0,78"
01/20/2022,"2.415,00","0,81"
01/20/2023,"1.784,00","-0,26"
01/21/2020,"620,00","-0,65"
01/21/2021,"1.387,00","1,24"
01/21/2022,"2.337,00","0,68"
01/21/2025,"14.083,00","5,03"
01/22/2020,"625,00","-0,96"
01/22/2021,"1.371,00","1,19"
01/22/2024,"5.965,00","3,35"
01/22/2025,"14.707,00","1,47"
01/23/2020,"632,00","-0,96"
01/23/2023,"1.919,00","2,04"
01/23/2024,"5.987,00","2,12"
01/23/2025,"14.722,00","1,46"
01/24/2020,"626,00","-0,96"
01/24/2022,"2.337,00","2,73"
01/24/2023,"1.926,00","-0,18"
01/24/2024,"6.136,00","2,19"
01/24/2025,"14.262,00","1,32"
01/25/2021,"1.365,00","-0,90"
01/25/2022,"2.232,00","0,64"
01/25/2023,"1.932,00","-0,13"
01/25/2024,"6.162,00","2,19"
01/26/2021,"1.344,00","-0,78"
01/26/2022,"2.277,00","0,69"
01/26/2023,"1.980,00","-0,13"
01/26/2024,"6.103,00","2,08"
01/27/2020,"600,00","-0,90"
01/27/2021,"1.292,00","1,15"
01/27/2022,"2.194,00","0,70"
01/27/2023,"2.036,00","-0,07"
01/27/2025,"11.842,00","4,82"
01/28/2020,"620,00","-0,95"
01/28/2021,"4.615.500,00","7443,35"
01/28/2022,"2.284,00","-1,00"
01/28/2025,"12.899,00","4,65"
01/29/2020,"614,00","-0,95"
01/29/2021,"1.299,00","1,12"
01/29/2024,"6.247,00","3,81"
01/29/2025,"12.370,00","0,98"
01/30/2020,"615,00","-0,95"
01/30/2023,"1.916,00","2,12"
01/30/2024,"6.277,00","2,28"
01/30/2025,"12.465,00","0,99"
01/31/2020,"591,00","-0,95"
01/31/2022,"2.449,00","3,14"
01/31/2023,"1.954,00","-0,20"
01/31/2024,"6.153,00","2,15"
01/31/2025,"12.007,00","0,95"
02/13/2020,"677,00","-0,94"
02/13/2023,"2.179,00","2,22"
02/13/2024,"7.213,00","2,31"
02/13/2025,"13.529,00","0,88"
02/14/2020,"724,00","-0,95"
02/14/2022,"2.427,00","2,35"
02/14/2023,"2.297,00","-0,05"
02/14/2024,"7.390,00","2,22"
02/14/2025,"13.885,00","0,88"
02/15/2022,"2.650,00","-0,81"
02/15/2023,"2.276,00","-0,14"
02/15/2024,"7.266,00","2,19"
02/16/2021,"1.533,00","-0,79"
02/16/2022,"2.651,00","0,73"
02/16/2023,"2.200,00","-0,17"
02/16/2024,"7.261,00","2,30"
02/17/2021,"1.491,00","-0,79"
02/17/2022,"2.451,00","0,64"
02/17/2023,"2.139,00","-0,13"
02/18/2020,"741,00","-0,65"
02/18/2021,"1.483,00","1,00"
02/18/2022,"2.364,00","0,59"
02/18/2025,"13.940,00","4,90"
02/19/2020,"787,00","-0,94"
02/19/2021,"1.493,00","0,90"
02/19/2025,"13.923,00","8,33"
02/20/2020,"772,00","-0,94"
02/20/2024,"6.945,00","8,00"
02/20/2025,"14.011,00","1,02"
02/21/2020,"735,00","-0,95"
02/21/2023,"2.066,00","1,81"
02/21/2024,"6.747,00","2,27"
02/21/2025,"13.443,00","0,99"
02/22/2021,"1.436,00","-0,89"
02/22/2022,"2.339,00","0,63"
02/22/2023,"2.075,00","-0,11"
02/22/2024,"7.854,00","2,79"
02/23/2021,"1.414,00","-0,82"
02/23/2022,"2.239,00","0,58"
02/23/2023,"2.366,00","0,06"
02/23/2024,"7.882,00","2,33"
02/24/2020,"683,00","-0,91"
02/24/2021,"1.450,00","1,12"
02/24/2022,"2.375,00","0,64"
02/24/2023,"2.329,00","-0,02"
02/24/2025,"13.028,00","4,59"
02/25/2020,"655,00","-0,95"
02/25/2021,"1.331,00","1,03"
02/25/2022,"2.416,00","0,82"
